Department,Name,Email,Position,Salary,StartDate
HR,Alice Johnson,alice.johnson@example.com,Recruiter,65000,2020-04-15
IT,Bob Smith,bob.smith@example.com,Software Engineer,80000,2019-08-01
Finance,Carol Whiteney,carol.white@example.com,Network Admin,70000,2021-02-10
Finance,David Browney,david.brown@example.com,Accountant,600000,2022-01-05
HR,Eva Greenery,eva.green@example.com,Recruiter,55000,2023-03-20
Marketing,Frank Miller,frank.miller@example.com,Marketing Lead,72000,2018-06-30
IT,Adam Leeyle,adam@gmail.com,Team Leader,50000,2025-05-05
IT,Anabella Lord,ana@goo.com,Developer,1000000,2025-04-14
HR,Daniel Soon,daniel@fui.com,Leader,150000,2025-05-11
Customer Service,Billy Joey,billy@university.com,Staff,100000,2025-05-11
